instancia,run,n_poblacion,n_iter,mejor_distancia,tiempo_seg
eil101,1,300,1000,894.5213835452279,87.0995283126831
eil101,2,300,1000,876.1851960250438,85.8671669960022
eil101,3,300,1000,896.3093148033738,85.23450517654419
eil101,4,300,1000,884.0472279317528,87.72001099586487
eil101,5,300,1000,831.5942171229722,86.32971382141113
eil101,6,300,1000,838.7023456217564,87.28175187110901
eil101,7,300,1000,879.4257843152385,91.71224665641785
eil101,8,300,1000,871.6902513684395,87.49633431434631
eil101,9,300,1000,840.0531418279987,85.45360517501831
eil101,10,300,1000,929.4599794187153,85.72226285934448
gr229,1,500,1500,3296.858768861882,769.4806804656982
gr229,2,500,1500,3281.6137255963004,770.5866572856903
gr229,3,500,1500,3482.9967894463553,779.5182287693024
gr229,4,500,1500,3555.328623252071,772.7253122329712
gr229,5,500,1500,3557.929354169219,777.4335477352142
gr229,6,500,1500,3296.691644573319,770.1691274642944
gr229,7,500,1500,3134.618389115284,771.3401508331299
gr229,8,500,1500,3175.541157451232,762.819075345993
gr229,9,500,1500,3570.251804449925,855.7724807262421
gr229,10,500,1500,2941.450781121616,871.6440768241882
inventado,1,200,800,1735.6734818337598,37.31388759613037
inventado,2,200,800,2094.1274109387623,37.70050668716431
inventado,3,200,800,1849.921559210562,38.79648041725159
inventado,4,200,800,2103.70235079116,38.92436480522156
inventado,5,200,800,1636.670317444175,37.25573992729187
inventado,6,200,800,2243.794430552797,37.24131679534912
inventado,7,200,800,2313.158728137021,37.61985635757446
inventado,8,200,800,2022.2548834538484,37.336846590042114
inventado,9,200,800,1917.417180818931,33.473105907440186
inventado,10,200,800,2282.2835044434346,33.06633901596069
